iter	Passed	Remaining
0	58	11736
1	67	6696
2	81	5381
3	94	4619
4	105	4120
5	115	3747
6	137	3777
7	147	3532
8	156	3321
9	166	3170
10	177	3053
11	188	2960
12	199	2862
13	210	2790
14	220	2720
15	231	2662
16	242	2607
17	258	2610
18	275	2620
19	302	2718
20	329	2805
21	354	2869
22	380	2930
23	407	2990
24	434	3042
25	462	3097
26	486	3118
27	512	3145
28	539	3183
29	565	3204
30	589	3213
31	603	3169
32	613	3106
33	624	3050
34	635	2995
35	645	2941
36	657	2896
37	679	2895
38	705	2912
39	731	2926
40	758	2942
41	780	2935
42	793	2898
43	807	2861
44	817	2817
45	843	2823
46	869	2829
47	894	2833
48	919	2835
49	945	2837
50	970	2834
51	994	2829
52	1018	2824
53	1031	2789
54	1042	2748
55	1053	2708
56	1071	2689
57	1095	2683
58	1123	2685
59	1153	2690
60	1174	2676
61	1199	2669
62	1218	2649
63	1239	2633
64	1251	2598
65	1267	2572
66	1302	2585
67	1329	2580
68	1339	2543
69	1350	2508
70	1361	2473
71	1372	2439
72	1382	2405
73	1393	2372
74	1403	2339
75	1414	2307
76	1435	2292
77	1459	2283
78	1487	2279
79	1515	2272
80	1540	2263
81	1552	2233
82	1562	2202
83	1575	2176
84	1599	2163
85	1625	2155
86	1653	2148
87	1677	2135
88	1705	2126
89	1730	2114
90	1752	2098
91	1762	2069
92	1773	2040
93	1787	2015
94	1812	2003
95	1840	1993
96	1876	1992
97	1918	1996
98	1945	1985
99	1970	1970
100	1998	1958
101	2023	1944
102	2047	1927
103	2059	1901
104	2084	1886
105	2110	1871
106	2136	1857
107	2159	1839
108	2187	1826
109	2212	1809
110	2241	1796
111	2278	1789
112	2303	1773
113	2322	1751
114	2333	1724
115	2343	1697
116	2354	1670
117	2379	1653
118	2403	1635
119	2427	1618
120	2453	1601
121	2472	1580
122	2484	1555
123	2495	1529
124	2511	1506
125	2537	1490
126	2563	1473
127	2574	1447
128	2585	1423
129	2597	1398
130	2608	1373
131	2619	1349
132	2641	1330
133	2667	1313
134	2689	1295
135	2716	1278
136	2740	1260
137	2765	1242
138	2780	1220
139	2790	1196
140	2802	1172
141	2813	1149
142	2824	1125
143	2834	1102
144	2855	1082
145	2882	1065
146	2908	1048
147	2936	1031
148	2957	1012
149	2969	989
150	2977	966
151	2988	943
152	3009	924
153	3036	906
154	3059	888
155	3086	870
156	3110	851
157	3134	833
158	3158	814
159	3184	796
160	3210	777
161	3234	758
162	3266	741
163	3288	721
164	3305	701
165	3333	682
166	3359	663
167	3378	643
168	3406	624
169	3431	605
170	3456	586
171	3485	567
172	3509	547
173	3535	528
174	3562	508
175	3592	489
176	3617	470
177	3649	451
178	3693	433
179	3720	413
180	3736	392
181	3755	371
182	3772	350
183	3783	329
184	3807	308
185	3836	288
186	3861	268
187	3885	248
188	3924	228
189	3949	207
190	3977	187
191	4003	166
192	4031	146
193	4056	125
194	4087	104
195	4110	83
196	4133	62
197	4157	41
198	4168	20
199	4180	0
